filer_ein,filer_name,latest_cycle
821742996,WILDERNESS SOCIETY ACTION FUND,2024
821919054,JEWISH DEMOCRATIC COUNCIL OF AMERICA,2018
821981944,EARTHJUSTICE ACTION,2024
822007387,NATIONAL SECURITY ACTION,2024
822606090,PATIENTS USA,2020
823030363,PROTECT OUR WINTERS ACTION FUND,2024
823045346,MARCH ON,2020
823166802,LEADERS IGNITING TRANSFORMATION ACTION FUND INC,2024
823674888,Pennsylvania United,2022
823877328,DEFENDING DEMOCRACY TOGETHER,2024
824259151,Community Water Center Action Fund,2024
824482629,CAMPAIGN FOR SUSTAINABLE RX PRICING,2020
824535615,MARCH FOR OUR LIVES ACTION FUND,2024
824578595,BLACK ECONOMIC ALLIANCE,2020
825097446,FIGHT CORPORATE MONOPOLIES,2024
825359967,DUTY AND HONOR,2018
825401286,Swamp Accountability Project,2018
825477192,ANIMAL WELLNESS ACTION,2024
825519787,Alianza For progress inc,2018
825528039,WAY TO WIN ACTION FUND INC,2020
830448717,Wisconsin Family Action,2012
830494970,IOWA CREDIT UNION LEAGUE,2012
830936641,CAROLINA FEDERATION,2024
831085161,SPLC ACTION FUND,2020
831199688,KIWA Action,2018
831487234,SOMOS ACCION,2022
831769970,NEW AMERICAN LEADERS ACTION FUND INC,2018
832050594,ECONOMIC SECURITY PROJECT ACTION INC,2024
832880678,PENNSYLVANIA STANDS UP INC,2022
833084374,Students for Life Action Inc,2022
833298146,DEMOCRATIC MAJORITY FOR ISRAEL,2024
834185105,HOUSE MAJORITY FORWARD,2020
834665335,ADVANCING AZ,2020
840146595,BELLCO CREDIT UNION,2002
841734545,Truth and Liberty Coalition Inc,2020
841860320,Rocky Mountain Values,2020
842378026,Piedmont Rising Inc,2020
842828142,PODER NC ACTION,2022
842889172,NCAAT IN ACTION,2024
842907396,Story Network Foundation,2022
843038674,Fair Future NC,2024
843474204,Fellow Americans,2020
843554059,WILD MONTANA ACTION FUND,2020
843834674,RURAL AMERICA FUND,2020
843944949,Freedom Action Now,2024
844281129,A STRONGER LOUISIANA,2020
844355156,RED WINE & BLUE,2024
844535961,COMMONWEALTH COMMUNICATIONS,2022
844700775,BIG TENT PROJECT FUND,2020
850549304,GOVERNING MAJORITY EDUCATION FUND,2022
850604101,WORKMONEY INC,2022
851359192,BUILDING AMERICA'S FUTURE,2024
851602627,Faith Forward,2020
851983868,In Union USA Action,2024
852340038,Cafe Accion,2022
852786747,LUPE VOTES,2024
852851625,WE ACT 4 CHANGE INC,2024
853056693,GEORGIA'S NOT BUYING IT INC,2020
861492251,POWER ACTION FUND,2024
863689961,DEMAND JUSTICE,2020
870752611,NAKASEC ACTION FUND,2024
872122911,GOODPOWER INC,2024
872367015,OPPORTUNITY FOR ALL ACTION FUND,2022
874598460,FREEDOM'S FUTURE FUND INC,2022
874630043,POWER TO THE POLLS INC,2022
880359303,NATIONAL ASSOCIATION OF HOME BUILDERS OF,2024
881133984,MI PODER,2024
883084482,EMERGING VOTERS INC,2022
900080500,ENVIRONMENTAL DEFENSE ACTION FUND,2024
911433368,Citizens United,2018
921545930,AMERICAN JOBS NOW,2024
922235061,All In For Utah,2024
931395796,UNITED FOR DEMOCRACY,2024
934944761,JORDAN CREDIT UNION FOUNDATION,2010
940362030,California Labor Federation AFL-CIO,2016
940707299,NATIONAL FEDERATION OF INDEPENDENT,2012
941153307,SIERRA CLUB,2020
943161863,The Impact Fund,2022
943168114,PLANNED PARENTHOOD ALLIANCE ADVOCATES,2010
943169564,CALIFORNIA ENVIRONMENTAL VOTERS,2012
951985500,AARP,2008
952237749,NATIONAL ASSOCIATION OF CONVENIENCE,2022
952408623,PLANNED PARENTHOOD LOS ANGELES,2018
953370744,CONCERNED WOMEN FOR AMERICA,2012
991805086,Ohio Works,2024
992011538,WISCONSIN PRINCIPLES INC,2024
993614737,Independent Veterans of America Action,2024
